year,age,partylr,krbornin,krcit,krlived,krkorean,krconfuc,krfeel,krancstr,immcrime,immjobs,immideas,LETIN1,rank,age_x,rank_x,partylr_x,letin1_x,immcrime_x,immjobs_x,immideas_x,krbornin_x,krcit_x,krlived_x,krkorean_x,krconfuc_x,krfeel_x,krancstr_x
2003,41,,3,,2,1,3,1,1,3,3,3,5,2,40~59,lower,,reduced,neutral,neutral,neutral,0,0,1,1,0,1,1
2003,43,3,2,2,3,1,2,1,2,4,4,3,2,5,40~59,middle,middle,increased,disagree,disagree,neutral,1,1,0,1,1,1,1
2003,46,3,2,2,1,1,1,1,1,3,3,3,4,3,40~59,lower,middle,reduced,neutral,neutral,neutral,1,1,1,1,1,1,1
2003,47,3,1,1,1,1,3,1,2,2,4,4,4,5,40~59,middle,middle,reduced,agree,disagree,disagree,1,1,1,1,0,1,1
2003,60,3,1,1,1,1,1,1,1,1,1,4,5,1,40~59,lower,middle,reduced,strongly agree,strongly agree,disagree,1,1,1,1,1,1,1
2003,50,4,1,1,4,2,3,3,3,1,4,4,3,10,40~59,upper,liberal,remained,strongly agree,disagree,disagree,1,1,0,1,0,0,0
2003,33,3,2,1,2,1,3,1,1,2,2,3,3,6,19~39,middle,middle,remained,agree,agree,neutral,1,1,1,1,0,1,1
2003,69,3,1,1,1,1,2,1,1,2,2,3,3,7,60~,upper,middle,remained,agree,agree,neutral,1,1,1,1,1,1,1
2003,34,2,2,2,2,2,3,2,2,4,4,2,3,7,19~39,upper,conservative,remained,disagree,disagree,agree,1,1,1,1,0,1,1
2003,39,3,1,1,3,1,3,1,1,5,1,1,3,5,19~39,middle,middle,remained,strongly disagree,strongly agree,strongly agree,1,1,0,1,0,1,1
2003,34,2,3,3,3,1,4,1,3,5,5,2,1,5,19~39,middle,conservative,increased,strongly disagree,strongly disagree,agree,0,0,0,1,0,1,0
2003,36,4,3,1,2,1,3,1,1,3,3,3,4,2,19~39,lower,liberal,reduced,neutral,neutral,neutral,0,1,1,1,0,1,1
2003,20,4,1,1,1,1,4,1,3,5,5,5,4,4,19~39,lower,liberal,reduced,strongly disagree,strongly disagree,strongly disagree,1,1,1,1,0,1,0
2003,23,4,2,2,1,3,3,1,4,2,3,4,1,5,19~39,middle,liberal,increased,agree,neutral,disagree,1,1,1,0,0,1,0
2003,25,2,1,1,2,1,2,1,1,4,4,2,3,4,19~39,lower,conservative,remained,disagree,disagree,agree,1,1,1,1,1,1,1
2003,59,2,1,1,1,1,1,1,1,1,4,3,5,5,40~59,middle,conservative,reduced,strongly agree,disagree,neutral,1,1,1,1,1,1,1
2003,32,2,2,2,2,1,2,3,3,2,2,3,,5,19~39,middle,conservative,,agree,agree,neutral,1,1,1,1,1,0,0
2003,30,2,2,1,2,1,3,1,1,3,4,3,4,5,19~39,middle,conservative,reduced,neutral,disagree,neutral,1,1,1,1,0,1,1
2003,78,3,1,1,1,1,1,1,1,2,2,2,4,3,60~,lower,middle,reduced,agree,agree,agree,1,1,1,1,1,1,1
2003,33,3,1,2,3,3,2,1,1,1,2,4,5,2,19~39,lower,middle,reduced,strongly agree,agree,disagree,1,1,0,0,1,1,1
